
Process: Workrave.exe Pid: 4248

Name	Description	Company Name	Version	Path
msimtf.dll	Active IMM Server DLL	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\msimtf.dll
MSVCRT.dll	Windows NT CRT DLL	Microsoft Corporation	7.00.6000.16386	C:\Windows\syswow64\MSVCRT.dll
NSI.dll	NSI User-mode interface DLL	Microsoft Corporation	6.00.6000.16386	C:\Windows\syswow64\NSI.dll
ntdll.dll	NT Layer DLL	Microsoft Corporation	6.00.6000.16386	C:\Windows\system32\ntdll.dll
ntdll.dll	NT Layer DLL	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\ntdll.dll
OLE32.dll	Microsoft OLE for Windows	Microsoft Corporation	6.00.6000.16386	C:\Windows\syswow64\OLE32.dll
OLEACC.dll	Active Accessibility Core Component	Microsoft Corporation	4.02.5406.0000	C:\Windows\SysWOW64\OLEACC.dll
oleaccrc.dll	Active Accessibility Resource DLL	Microsoft Corporation	4.02.5406.0000	C:\Windows\SysWOW64\oleaccrc.dll
OLEAUT32.dll		Microsoft Corporation	6.00.6000.16609	C:\Windows\syswow64\OLEAUT32.dll
PROPSYS.dll	Microsoft Property System	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\PROPSYS.dll
PSAPI.DLL	Process Status Helper	Microsoft Corporation	6.00.6000.16386	C:\Windows\syswow64\PSAPI.DLL
R000000000002.clb				C:\Windows\Registration\R000000000002.clb
RPCRT4.dll	Remote Procedure Call Runtime	Microsoft Corporation	6.00.6000.16525	C:\Windows\syswow64\RPCRT4.dll
Secur32.dll	Security Support Provider Interface	Microsoft Corporation	6.00.6000.16386	C:\Windows\syswow64\Secur32.dll
SETUPAPI.dll	Windows Setup API	Microsoft Corporation	6.00.6000.16609	C:\Windows\syswow64\SETUPAPI.dll
setupapi.dll.mui	Windows Setup API	Microsoft Corporation	6.00.6000.16609	C:\Windows\SysWOW64\en-US\setupapi.dll.mui
shdocvw.dll	Shell Doc Object and Control Library	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\shdocvw.dll
SHELL32.DLL	Windows Shell Common Dll	Microsoft Corporation	6.00.6000.16513	C:\Windows\syswow64\SHELL32.DLL
SHLWAPI.dll	Shell Light-weight Utility Library	Microsoft Corporation	6.00.6000.16386	C:\Windows\syswow64\SHLWAPI.dll
USER32.dll	Multi-User Windows USER API Client DLL	Microsoft Corporation	6.00.6000.16438	C:\Windows\syswow64\USER32.dll
USERENV.dll	Userenv	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\USERENV.dll
USP10.dll	Uniscribe Unicode script processor	Microsoft Corporation	1.626.6000.16386	C:\Windows\syswow64\USP10.dll
uxtheme.dll	Microsoft UxTheme Library	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\uxtheme.dll
VERSION.dll	Version Checking and File Installation Libraries	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\VERSION.dll
wdmaud.drv	Winmm  audio system driver	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\wdmaud.drv
wdmaud.drv.mui	Winmm  audio system driver	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\en-US\wdmaud.drv.mui
WINMM.DLL	MCI API DLL	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\WINMM.DLL
winmm.dll.mui	MCI API DLL	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\en-US\winmm.dll.mui
WINSPOOL.DRV	Windows Spooler Driver	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\WINSPOOL.DRV
WINTRUST.dll	Microsoft Trust Verification APIs	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\WINTRUST.dll
Workrave.exe				C:\Program Files (x86)\Workrave\lib\Workrave.exe
wow64.dll	Win32 Emulation on NT64	Microsoft Corporation	6.00.6000.16386	C:\Windows\system32\wow64.dll
wow64cpu.dll	AMD64 Wow64 CPU 	Microsoft Corporation	6.00.6000.16386	C:\Windows\system32\wow64cpu.dll
wow64win.dll	Wow64 Console and Win32 API Logging	Microsoft Corporation	6.00.6000.16386	C:\Windows\system32\wow64win.dll
WS2_32.DLL	Windows Socket 2.0 32-Bit DLL	Microsoft Corporation	6.00.6000.16386	C:\Windows\syswow64\WS2_32.DLL
zlib1.dll	Zlib: general purpose data compression / decompression library	Zlib	1.02.0003.2027	C:\Program Files (x86)\Workrave\lib\zlib1.dll
